data_time,id,name,address,telephone,longitude,latitude,district,city,nhi,pharmacy_per_10k
2026-05-02 20:24:15,1,南昌大藥局,臺北市中正區南昌路一段８６號一樓,(02)23510322,121.5173744,25.0308592,中正區,臺北市,True,4.56
2026-05-02 20:24:15,2,仁杏藥局,臺北市中正區汀州路一段３８４號,(02)23013621,121.5135504,25.02623632,中正區,臺北市,True,4.56
2026-05-02 20:24:15,3,永興藥局,臺北市中正區汀州路一段９２巷２８號,(02)23050986,121.5067622,25.02999357,中正區,臺北市,True,4.56
2026-05-02 20:24:15,4,華大藥局,臺北市中正區金門街８號,(02)23682425,121.5243315,25.02275147,中正區,臺北市,True,4.56
2026-05-02 20:24:15,5,怡誠藥局,臺北市中正區汀州路二段二一二號,(02)23625100,121.5237191,25.02236086,中正區,臺北市,True,4.56
2026-05-02 20:24:15,6,建祥武昌藥局,臺北市中正區武昌街1段29號1樓,(02)23314038,121.512123,25.04415718,中正區,臺北市,True,4.56
2026-05-02 20:24:15,7,日生大藥局,臺北市中正區汀州路一段５３號１樓,(02)23031393,121.5076476,25.03025745,中正區,臺北市,True,4.56
2026-05-02 20:24:15,8,三元藥局,臺北市中正區三元街１５８號,(02)23052839,121.5108721,25.02800107,中正區,臺北市,True,4.56
2026-05-02 20:24:15,9,大安藥局,臺北市中正區新生南路1段56巷2號(1樓),(02)23213186,121.5325212,25.0411213,中正區,臺北市,True,4.56
2026-05-02 20:24:15,10,上海聯合藥局,臺北市中正區衡陽路３２號１樓,(02)23714797,121.5126292,25.04220631,中正區,臺北市,True,4.56
2026-05-02 20:24:15,11,中心藥局,臺北市中正區汀州路三段１２１號,(02)23689889,121.5302985,25.01654511,中正區,臺北市,True,4.56
2026-05-02 20:24:15,12,楊藥局,臺北市中正區臨沂街２９巷１８號,(02)23414449,121.530796,25.03984849,中正區,臺北市,True,4.56
2026-05-02 20:24:15,13,和康大藥局,臺北市中正區忠孝東路一段７８號１樓,(02)23958181,121.5239625,25.04446127,中正區,臺北市,True,4.56
2026-05-02 20:24:15,14,古亭藥局,臺北市中正區汀州路三段１１７號,,121.5301226,25.01666815,中正區,臺北市,True,4.56
2026-05-02 20:24:15,15,新獻安藥局,臺北市中正區羅斯福路一段１５號,(02)23519891,121.5182188,25.03316149,中正區,臺北市,True,4.56
2026-05-02 20:24:15,16,國杏藥師示範藥局,臺北市中正區延平南路１７１巷３號,(02)23811322,121.5078466,25.0348694,中正區,臺北市,True,4.56
2026-05-02 20:24:15,17,東華藥局,臺北市中正區汀州路三段一一三號,(02)23640852,121.5300303,25.01673271,中正區,臺北市,True,4.56
