data_time,city,district,name,address,latitude,longitude,phone,certification_level,eco_attributes,data_source
2026-05-03T00:11:42.407505+08:00,臺北市,松山區,《扶風堂》披薩。義麵。吉拉朵,臺北市松山區敦化北路165巷5號,25.054834776118,121.550306697167,(02)27153377,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,6：35 Brunch & Dinner(大安旗艦店),臺北市大安區復興南路二段288號,25.024049135402,121.54323723239,(02)23770100,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,內湖區,88號樂章-88 La Plaza,臺北市內湖區民善街88號,25.060140688466,121.575364899624,(02)27943800,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,Aunt Stella 詩特莉,臺北市大安區忠孝東路三段300號,25.041211752706,121.543057105291,(02)87721638,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,信義區,AW Cafe Wine Bistro,臺北市信義區信義路四段115-2號,25.033471274671,121.548295375681,(02)27012498,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,信義區,BaganHood 蔬食餐酒館,臺北市信義區忠孝東路四段553巷46弄11號,25.044283091577,121.563477265445,(02)37622557,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,Bar. Tender 八天餐酒館,臺北市大安區復興南路一段107巷5弄2號,25.043907456586,121.54462066551,(02)27782105,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,Bea's Bistro 美式餐館,臺北市大安區潮州街133號,25.0285387342,121.528938962859,(02)23918827,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,松山區,Blooming 花漾蒔光,臺北市松山區復興北路313巷38號,25.058831141823,121.546784118538,(02)25460909,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,萬華區,Blue磚塊義法廚房,臺北市萬華區武昌街二段83之8號,25.045224580449,121.504980941224,(02)23110070,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,Camo咖啡,臺北市大安區和平東路一段129號,25.026879829833,121.528411573511,(02)33433931,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,士林區,Capricciosa卡布里喬莎(天母SOGO店),臺北市士林區中山北路六段77號8F,25.105007004507,121.52427803796,(02)28332558,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,Chao?炒炒蔬食熱炒,臺北市大安區大安路一段52巷21號,25.043241765836,121.545125926633,(02)27753005,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,Chinese Whispers 悄悄話餐酒館,臺北市大安區仁愛路四段345巷2弄11號,25.038592910878,121.553550326058,(02)27783988,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,COFFEE LOVER's PLANET,臺北市大安區敦化南路一段246號,25.040146203265,121.548441975167,(02)27524157,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,松山區,Coming Bistro,臺北市松山區光復南路55號,25.045992161634,121.557929116095,(02)27479225,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,CYCLO 洛城 忠孝門市,臺北市大安區大安路一段75巷9號,25.042302950771,121.546765343075,(02)27782569,認證中,[],臺北市環保局
2026-05-03T00:11:42.407505+08:00,臺北市,大安區,EN和食(復興SOGO店),臺北市大安區忠孝東路三段300號,25.041211752706,121.543057105291,(02)77450796,認證中,[],臺北市環保局
